snapshot_date,model_family,body,model_year,asking_price_usd,mileage_miles,currency,location,seller_type,listing_title,listing_url,source,vin_or_stock,exterior_color,interior_color,notes
2026-09-15,Performante,coupe,2018,370000,,USD,"Scottsdale, Arizona, USA",dealer,2018 Lamborghini Huracan LP640-4 Performante,https://www.classic.com/veh/2018-lamborghini-huracan-lp640-4-performante-zhwcd-nwXmgKW/,Classic.com,,,,Classic.com asterisk asking; 13k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Spady Auto Group; VIN truncated/absent in Classic.com URL
2026-09-15,Performante,coupe,2018,370480,,USD,"Highlands Ranch, Colorado, USA",dealer,2018 Lamborghini Huracan LP640-4 Performante,https://www.classic.com/veh/2018-lamborghini-huracan-lp640-4-performante-zhwud-nmq2MOn/,Classic.com,,,,Classic.com asterisk asking; 20k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Maserati Denver; VIN truncated/absent in Classic.com URL
2026-09-15,Performante,coupe,2018,429900,,USD,"Addison, Texas, USA",dealer,2018 Lamborghini Huracan LP640-4 Performante,https://www.classic.com/veh/2018-lamborghini-huracan-lp640-4-performante-zhwud-4oaN01W/,Classic.com,,,,Classic.com asterisk asking; 5k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Tactical Fleet Dallas; VIN truncated/absent in Classic.com URL
2026-09-15,Performante,coupe,2018,459990,,USD,"New Albany, Indiana, USA",dealer,2018 Lamborghini Huracan LP640-4 Performante,https://www.classic.com/veh/2018-lamborghini-huracan-lp640-4-performante-zhwud-peLm67W/,Classic.com,,,,Classic.com asterisk asking; 11k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Hypercars; VIN truncated/absent in Classic.com URL
2026-09-15,Performante,coupe,2019,440075,13851,USD,"Rancho Mirage, CA, USA",dealer,2019 Lamborghini Huracan Performante,https://www.cars.com/vehicledetail/e38f0459-84df-4200-b317-8023deabd03a/,Cars.com,ZHWUD4ZFXKLA12852,,,Cars.com search results; exact miles from Cars.com JSON: 13851; seller:Desert European Motorcars; stock:Used
2026-09-15,Performante,spider,2018,384500,,USD,"Broward County, Florida, USA",dealer,2018 Lamborghini Huracan LP640-4 Performante Spyder,https://www.classic.com/veh/2018-lamborghini-huracan-lp640-4-performante-spyde-pgakVLn/,Classic.com,,,,Classic.com asterisk asking; 11k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Prime One Motorsports; VIN truncated/absent in Classic.com URL
2026-09-15,Performante,spider,2018,409950,,USD,"Miami-Dade County, Florida, USA",dealer,2018 Lamborghini Huracan LP640-4 Performante Spyder,https://www.classic.com/veh/2018-lamborghini-huracan-lp640-4-performante-spyde-nBkZYZW/,Classic.com,,,,Classic.com asterisk asking; 8k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Prestige Imports; VIN truncated/absent in Classic.com URL
2026-09-15,Performante,spider,2018,411696,8104,USD,"Miami, FL, USA",dealer,2018 Lamborghini Huracan Performante Spyder,https://www.cars.com/vehicledetail/616aebbc-1397-4ac6-b0d9-4dfb517d2a24/,Cars.com,ZHWUS4ZF6JLA10746,black,,Cars.com search results; exact miles from Cars.com JSON: 8104; seller:Prestige Imports; stock:Used; exterior color: black
2026-09-15,Performante,spider,2019,328991,35482,USD,"Scottsdale, AZ, USA",dealer,2019 Lamborghini Huracan Performante,https://www.cars.com/vehicledetail/a8574323-0673-4f72-aa63-cf06e0551039/,Cars.com,ZHWUS4ZF6KLA11543,,,Cars.com search results; exact miles from Cars.com JSON: 35482; seller:Auto Boom LLC; stock:Used
2026-09-15,Performante,spider,2019,349993,,USD,"Costa Mesa, California, USA",dealer,2019 Lamborghini Huracan LP640-4 Performante Spyder,https://www.classic.com/veh/2019-lamborghini-huracan-lp640-4-performante-spyde-4yBLron/,Classic.com,,,,Classic.com asterisk asking; 29k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Pro Motorcars; VIN truncated/absent in Classic.com URL
2026-09-15,Performante,spider,2019,399500,,USD,"Marysville, Ohio, USA",dealer,2019 Lamborghini Huracan LP640-4 Performante Spyder,https://www.classic.com/veh/2019-lamborghini-huracan-lp640-4-performante-spyde-nBlgvRp/,Classic.com,,,,Classic.com asterisk asking; 12k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Performance Luxury Sport; VIN truncated/absent in Classic.com URL
