snapshot_or_event_date,status,make,model_family,body,model_year,asking_price_usd,sold_price_usd,mileage_miles,location,listing_title,listing_url,source,vin_or_stock,notes
2026-09-09,last_ask,Ferrari,296,coupe,2025,349000,,426,"Thousand Oaks, California, USA",2025 Ferrari 296 GTB,https://www.classic.com/veh/2025-ferrari-296-gtb-zff99sla2s0325508-WbKbwvp/,Classic.com,ZFF99SLA2S0325508,296 GTB; exact miles displayed: 426 mi; Classic.com Last Asking (removed/sold without published sold price)
2026-09-09,last_ask,McLaren,Artura,coupe,2023,179900,,,"Costa Mesa, California, USA",2023 McLaren Artura Coupe,https://www.classic.com/veh/2023-mclaren-artura-coupe-sbm16aea9pw001804-n358eBp/,Classic.com,SBM16AEA9PW001804,Artura; 7k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-09,sold,Lamborghini,Aventador_SVJ,coupe,2021,,1550000,,"Charlotte, North Carolina, USA",2021 Lamborghini Aventador LP770-4 SVJ,https://www.classic.com/veh/2021-lamborghini-aventador-lp770-4-svj-zhwun6zd1ml-4a59Jv4/,Classic.com,,Aventador LP770-4 SVJ; 4k mi displayed; mileage blank (rounded Nk mi); auction sold
2026-09-09,sold,Lamborghini,Gallardo,coupe,2004,,220000,,"Fremont, California, USA",2004 Lamborghini Gallardo,https://www.classic.com/veh/2004-lamborghini-gallardo-zhwgu11m04la00718-W9Xa1bn/,Classic.com,ZHWGU11M04LA00718,Gallardo; 22k mi displayed; mileage blank (rounded Nk mi); auction sold
2026-09-08,last_ask,Ferrari,296,coupe,2024,317995,,,"Calabasas, California, USA",2024 Ferrari 296 GTB,https://www.classic.com/veh/2024-ferrari-296-gtb-zff99sla8r0305239-n1oJX2p/,Classic.com,ZFF99SLA8R0305239,296 GTB; 3k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-08,last_ask,Lamborghini,Murcielago,spider,2009,,,,"Manhattan Beach, California, USA",2009 Lamborghini Murciélago LP640-4 Roadster,https://www.classic.com/veh/2009-lamborghini-murcielago-lp640-4-roadster-2hwbe-4AxdNMp/,Classic.com,,Murcielago Roadster; 6k km (3k mi) displayed; mileage blank (rounded Nk mi from km conversion); Classic.com Last Asking (removed/sold without published sold price)
2026-09-07,last_ask,Ferrari,296,spider,2024,426697,,889,"Scottsdale, Arizona, USA",2024 Ferrari 296 GTS,https://www.classic.com/veh/2024-ferrari-296-gts-zff01sma0r0312197-4yjgJDn/,Classic.com,ZFF01SMA0R0312197,296 GTS; exact miles displayed: 889 mi; Classic.com Last Asking (removed/sold without published sold price)
2026-09-07,last_ask,Ferrari,296,coupe,2024,344870,,,"Roswell, Georgia, USA",2024 Ferrari 296 GTB,https://www.classic.com/veh/2024-ferrari-296-gtb-zff99sla3r0304208-p0G1L0W/,Classic.com,ZFF99SLA3R0304208,296 GTB; 1k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-07,last_ask,Ferrari,488,spider,2018,377500,,,"Broward County, Florida, USA",2018 Ferrari 488 Spider Convertible,https://www.classic.com/veh/2018-ferrari-488-spider-zff80amaxj0232989-pe2edz4/,Classic.com,ZFF80AMAXJ0232989,14k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-07,last_ask,Ferrari,488,coupe,2018,350438,,,,2018 Ferrari 488 GTB Base,https://www.classic.com/veh/2018-ferrari-488-gtb-zff79ala0j0231272-4y0ZEDp/,Classic.com,ZFF79ALA0J0231272,13k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
